FID	IID	sex	ancestry
HG03249	HG03249	M	AFR
HG03250	HG03250	F	AFR
HG03251	HG03251	F	AFR
HG03258	HG03258	M	AFR
HG03259	HG03259	F	AFR
HG03260	HG03260	M	AFR
HG03265	HG03265	M	AFR
HG03266	HG03266	F	AFR
HG03267	HG03267	F	AFR
HG03268	HG03268	M	AFR
HG03269	HG03269	M	AFR
HG03270	HG03270	F	AFR
HG03271	HG03271	M	AFR
HG03272	HG03272	F	AFR
HG03279	HG03279	F	AFR
HG03280	HG03280	M	AFR
HG03291	HG03291	F	AFR
HG03293	HG03293	M	AFR
HG03294	HG03294	F	AFR
HG03295	HG03295	M	AFR
HG03296	HG03296	M	AFR
HG03297	HG03297	F	AFR
HG03298	HG03298	M	AFR
HG03299	HG03299	M	AFR
HG03300	HG03300	F	AFR
HG03301	HG03301	M	AFR
HG03302	HG03302	M	AFR
HG03303	HG03303	F	AFR
HG03304	HG03304	M	AFR
HG03305	HG03305	F	AFR
HG03306	HG03306	F	AFR
HG03307	HG03307	M	AFR
HG03308	HG03308	M	AFR
HG03309	HG03309	F	AFR
HG03310	HG03310	F	AFR
HG03311	HG03311	M	AFR
HG03312	HG03312	F	AFR
HG03313	HG03313	M	AFR
HG03314	HG03314	M	AFR
HG03339	HG03339	F	AFR
HG03341	HG03341	F	AFR
HG03342	HG03342	F	AFR
HG03343	HG03343	M	AFR
HG03344	HG03344	M	AFR
HG03350	HG03350	M	AFR
HG03351	HG03351	F	AFR
HG03352	HG03352	M	AFR
HG03354	HG03354	F	AFR
HG03361	HG03361	M	AFR
HG03362	HG03362	M	AFR
HG03363	HG03363	F	AFR
HG03365	HG03365	M	AFR
HG03366	HG03366	F	AFR
HG03367	HG03367	M	AFR
HG03368	HG03368	M	AFR
HG03369	HG03369	F	AFR
HG03370	HG03370	M	AFR
HG03371	HG03371	M	AFR
HG03372	HG03372	F	AFR
HG03373	HG03373	M	AFR
HG03374	HG03374	F	AFR
HG03376	HG03376	M	AFR
HG03378	HG03378	F	AFR
HG03380	HG03380	F	AFR
HG03381	HG03381	F	AFR
HG03382	HG03382	M	AFR
HG03383	HG03383	F	AFR
HG03384	HG03384	F	AFR
HG03385	HG03385	M	AFR
HG03388	HG03388	M	AFR
HG03390	HG03390	M	AFR
HG03391	HG03391	M	AFR
HG03393	HG03393	F	AFR
HG03394	HG03394	M	AFR
HG03397	HG03397	M	AFR
HG03398	HG03398	F	AFR
HG03399	HG03399	M	AFR
HG03401	HG03401	F	AFR
HG03402	HG03402	F	AFR
HG03408	HG03408	M	AFR
HG03410	HG03410	F	AFR
HG03411	HG03411	F	AFR
HG03419	HG03419	F	AFR
HG03428	HG03428	F	AFR
HG03431	HG03431	F	AFR
HG03432	HG03432	M	AFR
HG03433	HG03433	M	AFR
HG03436	HG03436	M	AFR
HG03437	HG03437	F	AFR
HG03438	HG03438	F	AFR
HG03439	HG03439	M	AFR
HG03442	HG03442	M	AFR
HG03445	HG03445	M	AFR
HG03446	HG03446	F	AFR
HG03449	HG03449	F	AFR
HG03450	HG03450	F	AFR
HG03451	HG03451	M	AFR
HG03452	HG03452	F	AFR
HG03453	HG03453	F	AFR
HG03454	HG03454	M	AFR
HG03455	HG03455	F	AFR
HG03456	HG03456	M	AFR
HG03457	HG03457	M	AFR
HG03458	HG03458	F	AFR
HG03459	HG03459	M	AFR
HG03460	HG03460	M	AFR
HG03461	HG03461	F	AFR
HG03462	HG03462	M	AFR
HG03464	HG03464	F	AFR
HG03465	HG03465	M	AFR
HG03466	HG03466	M	AFR
HG03468	HG03468	M	AFR
HG03469	HG03469	M	AFR
HG03470	HG03470	F	AFR
HG03471	HG03471	M	AFR
HG03472	HG03472	M	AFR
HG03473	HG03473	F	AFR
HG03474	HG03474	M	AFR
HG03476	HG03476	F	AFR
HG03477	HG03477	M	AFR
HG03478	HG03478	M	AFR
HG03479	HG03479	F	AFR
HG03480	HG03480	F	AFR
HG03484	HG03484	M	AFR
HG03485	HG03485	F	AFR
HG03486	HG03486	F	AFR
HG03487	HG03487	M	SAS
HG03488	HG03488	F	SAS
HG03489	HG03489	M	SAS
HG03490	HG03490	M	SAS
HG03491	HG03491	F	SAS
HG03492	HG03492	M	SAS
HG03493	HG03493	F	AFR
HG03499	HG03499	F	AFR
HG03508	HG03508	F	AFR
HG03510	HG03510	F	AFR
HG03511	HG03511	F	AFR
HG03513	HG03513	M	AFR
HG03514	HG03514	F	AFR
HG03515	HG03515	M	AFR
HG03516	HG03516	F	AFR
HG03517	HG03517	F	AFR
HG03518	HG03518	M	AFR
HG03519	HG03519	M	AFR
HG03520	HG03520	F	AFR
HG03521	HG03521	M	AFR
HG03522	HG03522	F	AFR
HG03538	HG03538	M	AFR
HG03539	HG03539	F	AFR
HG03540	HG03540	F	AFR
HG03547	HG03547	M	AFR
HG03548	HG03548	F	AFR
HG03549	HG03549	F	AFR
HG03556	HG03556	M	AFR
HG03557	HG03557	F	AFR
HG03558	HG03558	F	AFR
HG03559	HG03559	M	AFR
HG03563	HG03563	F	AFR
HG03564	HG03564	F	AFR
HG03565	HG03565	M	AFR
HG03566	HG03566	F	AFR
HG03567	HG03567	F	AFR
HG03569	HG03569	F	AFR
HG03571	HG03571	M	AFR
HG03572	HG03572	F	AFR
HG03574	HG03574	M	AFR
HG03575	HG03575	F	AFR
HG03576	HG03576	F	AFR
HG03577	HG03577	M	AFR
HG03578	HG03578	F	AFR
HG03579	HG03579	M	AFR
HG03582	HG03582	M	AFR
HG03583	HG03583	F	AFR
HG03584	HG03584	F	AFR
HG03585	HG03585	M	SAS
HG03587	HG03587	F	SAS
HG03589	HG03589	F	SAS
HG03590	HG03590	M	SAS
HG03593	HG03593	M	SAS
HG03594	HG03594	M	SAS
HG03595	HG03595	F	SAS
HG03596	HG03596	M	SAS
HG03598	HG03598	F	SAS
HG03599	HG03599	F	SAS
HG03600	HG03600	M	SAS
HG03602	HG03602	M	SAS
HG03603	HG03603	M	SAS
HG03604	HG03604	F	SAS
HG03605	HG03605	F	SAS
HG03606	HG03606	M	SAS
HG03607	HG03607	F	SAS
HG03611	HG03611	F	SAS
HG03615	HG03615	M	SAS
HG03616	HG03616	F	SAS
HG03617	HG03617	F	SAS
HG03618	HG03618	M	SAS
HG03619	HG03619	F	SAS
HG03620	HG03620	F	SAS
HG03621	HG03621	M	SAS
HG03624	HG03624	M	SAS
HG03625	HG03625	F	SAS
HG03626	HG03626	F	SAS
HG03629	HG03629	M	SAS
HG03631	HG03631	F	SAS
HG03633	HG03633	M	SAS
HG03634	HG03634	F	SAS
HG03635	HG03635	F	SAS
HG03636	HG03636	M	SAS
HG03638	HG03638	F	SAS
HG03639	HG03639	M	SAS
HG03640	HG03640	F	SAS
HG03641	HG03641	M	SAS
HG03642	HG03642	F	SAS
HG03643	HG03643	F	SAS
HG03644	HG03644	M	SAS
HG03645	HG03645	F	SAS
HG03646	HG03646	M	SAS
HG03649	HG03649	M	SAS
HG03650	HG03650	F	SAS
HG03651	HG03651	M	SAS
HG03652	HG03652	M	SAS
HG03653	HG03653	F	SAS
HG03654	HG03654	M	SAS
HG03656	HG03656	F	SAS
HG03657	HG03657	M	SAS
HG03660	HG03660	M	SAS
HG03663	HG03663	M	SAS
HG03667	HG03667	M	SAS
HG03668	HG03668	F	SAS
HG03669	HG03669	F	SAS
HG03672	HG03672	M	SAS
HG03673	HG03673	F	SAS
HG03679	HG03679	M	SAS
HG03680	HG03680	M	SAS
HG03681	HG03681	M	SAS
HG03682	HG03682	M	SAS
HG03683	HG03683	F	SAS
HG03684	HG03684	F	SAS
HG03685	HG03685	M	SAS
HG03686	HG03686	M	SAS
HG03687	HG03687	M	SAS
HG03688	HG03688	M	SAS
HG03689	HG03689	F	SAS
HG03690	HG03690	F	SAS
HG03691	HG03691	M	SAS
HG03692	HG03692	F	SAS
HG03693	HG03693	M	SAS
HG03694	HG03694	M	SAS
HG03695	HG03695	M	SAS
HG03696	HG03696	M	SAS
HG03697	HG03697	M	SAS
HG03698	HG03698	F	SAS
HG03699	HG03699	M	SAS
HG03700	HG03700	F	SAS
HG03701	HG03701	M	SAS
HG03702	HG03702	M	SAS
HG03703	HG03703	F	SAS
HG03704	HG03704	F	SAS
HG03705	HG03705	M	SAS
HG03706	HG03706	F	SAS
HG03707	HG03707	M	SAS
HG03708	HG03708	M	SAS
HG03709	HG03709	F	SAS
HG03710	HG03710	M	SAS
HG03711	HG03711	M	SAS
HG03713	HG03713	M	SAS
HG03714	HG03714	F	SAS
HG03715	HG03715	M	SAS
HG03716	HG03716	M	SAS
HG03717	HG03717	F	SAS
HG03718	HG03718	M	SAS
HG03719	HG03719	F	SAS
HG03720	HG03720	M	SAS
HG03721	HG03721	F	SAS
HG03722	HG03722	F	SAS
HG03723	HG03723	F	SAS
HG03725	HG03725	M	SAS
HG03727	HG03727	M	SAS
HG03729	HG03729	M	SAS
HG03730	HG03730	F	SAS
HG03731	HG03731	F	SAS
HG03732	HG03732	M	SAS
HG03733	HG03733	F	SAS
HG03736	HG03736	F	SAS
HG03738	HG03738	M	SAS
HG03740	HG03740	M	SAS
HG03741	HG03741	F	SAS
HG03742	HG03742	M	SAS
HG03743	HG03743	M	SAS
HG03744	HG03744	M	SAS
HG03745	HG03745	M	SAS
HG03746	HG03746	M	SAS
HG03750	HG03750	M	SAS
HG03752	HG03752	F	SAS
HG03753	HG03753	M	SAS
HG03754	HG03754	F	SAS
HG03755	HG03755	M	SAS
HG03756	HG03756	F	SAS
HG03757	HG03757	F	SAS
HG03760	HG03760	F	SAS
HG03761	HG03761	M	SAS
HG03762	HG03762	F	SAS
HG03763	HG03763	M	SAS
HG03765	HG03765	F	SAS
HG03766	HG03766	M	SAS
HG03767	HG03767	M	SAS
HG03769	HG03769	M	SAS
HG03770	HG03770	F	SAS
HG03771	HG03771	M	SAS
HG03772	HG03772	F	SAS
HG03773	HG03773	M	SAS
HG03774	HG03774	F	SAS
HG03775	HG03775	M	SAS
HG03777	HG03777	M	SAS
HG03778	HG03778	M	SAS
HG03779	HG03779	M	SAS
HG03780	HG03780	F	SAS
HG03781	HG03781	F	SAS
HG03782	HG03782	F	SAS
HG03783	HG03783	M	SAS
HG03784	HG03784	F	SAS
HG03785	HG03785	M	SAS
HG03786	HG03786	M	SAS
HG03787	HG03787	F	SAS
HG03788	HG03788	M	SAS
HG03789	HG03789	F	SAS
HG03790	HG03790	M	SAS
HG03792	HG03792	M	SAS
HG03793	HG03793	F	SAS
HG03794	HG03794	M	SAS
HG03795	HG03795	M	SAS
HG03796	HG03796	F	SAS
HG03797	HG03797	M	SAS
HG03798	HG03798	M	SAS
HG03799	HG03799	F	SAS
HG03800	HG03800	M	SAS
HG03801	HG03801	F	SAS
HG03802	HG03802	F	SAS
HG03803	HG03803	M	SAS
HG03804	HG03804	F	SAS
HG03805	HG03805	F	SAS
HG03806	HG03806	M	SAS
HG03807	HG03807	F	SAS
HG03808	HG03808	F	SAS
HG03809	HG03809	M	SAS
HG03811	HG03811	F	SAS
HG03812	HG03812	M	SAS
HG03813	HG03813	F	SAS
HG03814	HG03814	F	SAS
HG03815	HG03815	M	SAS
HG03816	HG03816	F	SAS
HG03817	HG03817	F	SAS
HG03821	HG03821	M	SAS
HG03822	HG03822	M	SAS
HG03823	HG03823	F	SAS
HG03824	HG03824	M	SAS
HG03825	HG03825	F	SAS
HG03826	HG03826	F	SAS
HG03829	HG03829	F	SAS
HG03830	HG03830	M	SAS
HG03831	HG03831	F	SAS
HG03832	HG03832	F	SAS
HG03833	HG03833	M	SAS
HG03834	HG03834	F	SAS
HG03835	HG03835	F	SAS
HG03836	HG03836	F	SAS
HG03837	HG03837	M	SAS
HG03838	HG03838	F	SAS
HG03840	HG03840	M	SAS
HG03842	HG03842	F	SAS
HG03844	HG03844	M	SAS
HG03845	HG03845	M	SAS
HG03846	HG03846	M	SAS
HG03847	HG03847	M	SAS
HG03848	HG03848	M	SAS
HG03849	HG03849	F	SAS
HG03850	HG03850	M	SAS
HG03851	HG03851	M	SAS
HG03854	HG03854	M	SAS
HG03856	HG03856	M	SAS
HG03857	HG03857	F	SAS
HG03858	HG03858	F	SAS
HG03861	HG03861	F	SAS
HG03862	HG03862	F	SAS
HG03863	HG03863	F	SAS
HG03864	HG03864	M	SAS
HG03866	HG03866	M	SAS
HG03867	HG03867	M	SAS
HG03868	HG03868	F	SAS
HG03869	HG03869	M	SAS
HG03870	HG03870	M	SAS
HG03871	HG03871	M	SAS
HG03872	HG03872	M	SAS
HG03873	HG03873	F	SAS
HG03874	HG03874	F	SAS
HG03875	HG03875	M	SAS
HG03876	HG03876	M	SAS
HG03879	HG03879	M	SAS
HG03882	HG03882	F	SAS
HG03884	HG03884	F	SAS
HG03885	HG03885	M	SAS
HG03886	HG03886	F	SAS
HG03887	HG03887	M	SAS
HG03888	HG03888	F	SAS
HG03890	HG03890	M	SAS
HG03894	HG03894	F	SAS
HG03895	HG03895	F	SAS
HG03896	HG03896	M	SAS
HG03897	HG03897	F	SAS
HG03898	HG03898	F	SAS
HG03899	HG03899	M	SAS
HG03900	HG03900	M	SAS
HG03901	HG03901	F	SAS
HG03902	HG03902	M	SAS
HG03903	HG03903	F	SAS
HG03904	HG03904	F	SAS
HG03905	HG03905	M	SAS
HG03906	HG03906	M	SAS
HG03907	HG03907	F	SAS
HG03908	HG03908	M	SAS
HG03909	HG03909	M	SAS
HG03910	HG03910	F	SAS
HG03911	HG03911	M	SAS
HG03913	HG03913	F	SAS
HG03914	HG03914	M	SAS
HG03915	HG03915	F	SAS
HG03916	HG03916	F	SAS
HG03917	HG03917	M	SAS
HG03919	HG03919	F	SAS
HG03920	HG03920	M	SAS
HG03922	HG03922	F	SAS
HG03924	HG03924	F	SAS
HG03925	HG03925	F	SAS
HG03926	HG03926	M	SAS
HG03927	HG03927	F	SAS
HG03928	HG03928	F	SAS
HG03929	HG03929	M	SAS
HG03930	HG03930	F	SAS
HG03931	HG03931	F	SAS
HG03934	HG03934	F	SAS
HG03937	HG03937	F	SAS
HG03939	HG03939	F	SAS
HG03940	HG03940	F	SAS
HG03941	HG03941	M	SAS
HG03942	HG03942	M	SAS
HG03943	HG03943	M	SAS
HG03944	HG03944	F	SAS
HG03945	HG03945	F	SAS
HG03947	HG03947	F	SAS
HG03948	HG03948	F	SAS
HG03949	HG03949	F	SAS
HG03950	HG03950	M	SAS
HG03951	HG03951	F	SAS
HG03953	HG03953	M	SAS
HG03955	HG03955	F	SAS
HG03960	HG03960	M	SAS
HG03963	HG03963	M	SAS
HG03965	HG03965	M	SAS
HG03967	HG03967	M	SAS
HG03968	HG03968	F	SAS
HG03969	HG03969	M	SAS
HG03971	HG03971	M	SAS
HG03972	HG03972	F	SAS
HG03973	HG03973	F	SAS
HG03974	HG03974	M	SAS
HG03976	HG03976	M	SAS
HG03977	HG03977	F	SAS
HG03978	HG03978	M	SAS
HG03982	HG03982	M	SAS
HG03985	HG03985	M	SAS
HG03986	HG03986	F	SAS
HG03988	HG03988	M	SAS
HG03989	HG03989	F	SAS
HG03990	HG03990	M	SAS
HG03991	HG03991	M	SAS
HG03992	HG03992	M	SAS
HG03995	HG03995	F	SAS
HG03998	HG03998	M	SAS
HG03999	HG03999	M	SAS
HG04001	HG04001	F	SAS
HG04002	HG04002	M	SAS
HG04003	HG04003	M	SAS
HG04006	HG04006	M	SAS
HG04014	HG04014	F	SAS
HG04015	HG04015	M	SAS
HG04017	HG04017	M	SAS
HG04018	HG04018	F	SAS
HG04019	HG04019	M	SAS
HG04020	HG04020	M	SAS
HG04022	HG04022	M	SAS
HG04023	HG04023	M	SAS
HG04024	HG04024	F	SAS
HG04025	HG04025	F	SAS
HG04026	HG04026	F	SAS
HG04029	HG04029	F	SAS
HG04033	HG04033	M	SAS
HG04035	HG04035	F	SAS
HG04036	HG04036	F	SAS
HG04037	HG04037	F	SAS
HG04038	HG04038	F	SAS
HG04039	HG04039	M	SAS
HG04040	HG04040	M	SAS
HG04042	HG04042	F	SAS
HG04047	HG04047	F	SAS
HG04050	HG04050	F	SAS
HG04053	HG04053	M	SAS
HG04054	HG04054	F	SAS
HG04055	HG04055	M	SAS
HG04056	HG04056	M	SAS
HG04058	HG04058	M	SAS
HG04059	HG04059	F	SAS
HG04060	HG04060	M	SAS
HG04061	HG04061	M	SAS
HG04062	HG04062	F	SAS
HG04063	HG04063	F	SAS
HG04067	HG04067	F	SAS
HG04070	HG04070	F	SAS
HG04075	HG04075	F	SAS
HG04076	HG04076	F	SAS
HG04080	HG04080	M	SAS
HG04090	HG04090	F	SAS
HG04093	HG04093	M	SAS
HG04094	HG04094	M	SAS
HG04096	HG04096	M	SAS
HG04098	HG04098	M	SAS
HG04099	HG04099	F	SAS
HG04100	HG04100	M	SAS
HG04106	HG04106	F	SAS
HG04107	HG04107	M	SAS
HG04114	HG04114	M	SAS
HG04115	HG04115	M	SAS
HG04118	HG04118	F	SAS
HG04122	HG04122	M	SAS
HG04127	HG04127	M	SAS
HG04128	HG04128	M	SAS
HG04131	HG04131	M	SAS
HG04132	HG04132	F	SAS
HG04133	HG04133	F	SAS
HG04134	HG04134	M	SAS
HG04135	HG04135	F	SAS
HG04136	HG04136	F	SAS
HG04140	HG04140	M	SAS
HG04141	HG04141	F	SAS
HG04142	HG04142	F	SAS
HG04144	HG04144	F	SAS
HG04146	HG04146	M	SAS
HG04147	HG04147	F	SAS
HG04148	HG04148	F	SAS
HG04149	HG04149	M	SAS
HG04150	HG04150	F	SAS
HG04151	HG04151	F	SAS
HG04152	HG04152	M	SAS
HG04153	HG04153	F	SAS
HG04155	HG04155	M	SAS
HG04156	HG04156	F	SAS
HG04157	HG04157	M	SAS
HG04158	HG04158	M	SAS
HG04159	HG04159	F	SAS
HG04160	HG04160	M	SAS
HG04161	HG04161	M	SAS
HG04162	HG04162	F	SAS
HG04164	HG04164	M	SAS
HG04171	HG04171	F	SAS
HG04173	HG04173	M	SAS
HG04174	HG04174	F	SAS
HG04175	HG04175	F	SAS
HG04176	HG04176	M	SAS
HG04177	HG04177	F	SAS
HG04180	HG04180	F	SAS
HG04181	HG04181	F	SAS
HG04182	HG04182	M	SAS
HG04183	HG04183	F	SAS
HG04184	HG04184	F	SAS
HG04185	HG04185	M	SAS
HG04186	HG04186	F	SAS
HG04187	HG04187	M	SAS
HG04188	HG04188	M	SAS
HG04189	HG04189	F	SAS
HG04191	HG04191	M	SAS
HG04192	HG04192	F	SAS
HG04193	HG04193	M	SAS
HG04194	HG04194	M	SAS
HG04195	HG04195	F	SAS
HG04197	HG04197	F	SAS
HG04198	HG04198	M	SAS
HG04199	HG04199	M	SAS
HG04200	HG04200	F	SAS
HG04202	HG04202	F	SAS
HG04204	HG04204	M	SAS
HG04206	HG04206	M	SAS
HG04208	HG04208	F	SAS
HG04209	HG04209	F	SAS
HG04210	HG04210	M	SAS
HG04211	HG04211	M	SAS
HG04212	HG04212	F	SAS
HG04214	HG04214	F	SAS
HG04215	HG04215	M	SAS
HG04216	HG04216	F	SAS
HG04217	HG04217	F	SAS
HG04219	HG04219	M	SAS
HG04222	HG04222	M	SAS
HG04225	HG04225	M	SAS
HG04227	HG04227	F	SAS
HG04228	HG04228	M	SAS
HG04229	HG04229	M	SAS
HG04235	HG04235	M	SAS
HG04238	HG04238	M	SAS
HG04239	HG04239	M	SAS
HG04301	HG04301	F	EUR
HG04302	HG04302	M	EUR
HG04303	HG04303	F	EUR
NA06984	NA06984	M	EUR
NA06985	NA06985	F	EUR
NA06986	NA06986	M	EUR
NA06989	NA06989	F	EUR
NA06991	NA06991	F	EUR
NA06993	NA06993	M	EUR
NA06994	NA06994	M	EUR
NA06995	NA06995	M	EUR
NA06997	NA06997	F	EUR
NA07000	NA07000	F	EUR
NA07014	NA07014	F	EUR
NA07019	NA07019	F	EUR
NA07022	NA07022	M	EUR
NA07029	NA07029	M	EUR
NA07031	NA07031	F	EUR
NA07034	NA07034	M	EUR
NA07037	NA07037	F	EUR
NA07045	NA07045	F	EUR
NA07048	NA07048	M	EUR
NA07051	NA07051	M	EUR
NA07055	NA07055	F	EUR
NA07056	NA07056	F	EUR
NA07340	NA07340	F	EUR
NA07345	NA07345	F	EUR
NA07346	NA07346	F	EUR
NA07347	NA07347	M	EUR
NA07348	NA07348	F	EUR
NA07349	NA07349	M	EUR
NA07357	NA07357	M	EUR
NA07435	NA07435	M	EUR
NA10830	NA10830	M	EUR
NA10831	NA10831	F	EUR
NA10835	NA10835	M	EUR
NA10836	NA10836	F	EUR
NA10837	NA10837	M	EUR
NA10838	NA10838	M	EUR
NA10839	NA10839	F	EUR
NA10840	NA10840	F	EUR
NA10842	NA10842	M	EUR
NA10843	NA10843	F	EUR
NA10845	NA10845	M	EUR
NA10846	NA10846	M	EUR
NA10847	NA10847	F	EUR
NA10850	NA10850	F	EUR
NA10851	NA10851	M	EUR
NA10852	NA10852	F	EUR
NA10853	NA10853	M	EUR
NA10854	NA10854	F	EUR
NA10855	NA10855	F	EUR
NA10856	NA10856	M	EUR
NA10857	NA10857	M	EUR
NA10859	NA10859	F	EUR
NA10860	NA10860	M	EUR
NA10861	NA10861	F	EUR
NA10863	NA10863	F	EUR
NA10864	NA10864	F	EUR
NA10865	NA10865	M	EUR
NA11829	NA11829	M	EUR
NA11830	NA11830	F	EUR
NA11831	NA11831	M	EUR
NA11832	NA11832	F	EUR
NA11839	NA11839	M	EUR
NA11840	NA11840	F	EUR
NA11843	NA11843	M	EUR
NA11881	NA11881	M	EUR
NA11882	NA11882	F	EUR
NA11891	NA11891	M	EUR
NA11892	NA11892	F	EUR
NA11893	NA11893	M	EUR
NA11894	NA11894	F	EUR
NA11917	NA11917	M	EUR
NA11918	NA11918	F	EUR
NA11919	NA11919	M	EUR
NA11920	NA11920	F	EUR
NA11930	NA11930	M	EUR
NA11931	NA11931	F	EUR
NA11932	NA11932	M	EUR
NA11933	NA11933	F	EUR
NA11992	NA11992	M	EUR
NA11993	NA11993	F	EUR
NA11994	NA11994	M	EUR
NA11995	NA11995	F	EUR
NA12003	NA12003	M	EUR
NA12004	NA12004	F	EUR
NA12005	NA12005	M	EUR
NA12006	NA12006	F	EUR
NA12043	NA12043	M	EUR
NA12044	NA12044	F	EUR
NA12045	NA12045	M	EUR
NA12046	NA12046	F	EUR
NA12056	NA12056	M	EUR
NA12057	NA12057	F	EUR
NA12058	NA12058	F	EUR
NA12144	NA12144	M	EUR
NA12145	NA12145	F	EUR
NA12146	NA12146	M	EUR
NA12154	NA12154	M	EUR
NA12155	NA12155	M	EUR
NA12156	NA12156	F	EUR
NA12234	NA12234	F	EUR
NA12239	NA12239	F	EUR
NA12248	NA12248	M	EUR
NA12249	NA12249	F	EUR
NA12264	NA12264	M	EUR
NA12272	NA12272	M	EUR
NA12273	NA12273	F	EUR
NA12274	NA12274	M	EUR
NA12275	NA12275	F	EUR
NA12282	NA12282	M	EUR
NA12283	NA12283	F	EUR
NA12286	NA12286	M	EUR
NA12287	NA12287	F	EUR
NA12329	NA12329	F	EUR
NA12335	NA12335	M	EUR
NA12336	NA12336	F	EUR
NA12340	NA12340	M	EUR
NA12341	NA12341	F	EUR
NA12342	NA12342	M	EUR
NA12343	NA12343	F	EUR
NA12344	NA12344	M	EUR
NA12347	NA12347	M	EUR
NA12348	NA12348	F	EUR
NA12375	NA12375	M	EUR
NA12376	NA12376	F	EUR
NA12383	NA12383	F	EUR
NA12386	NA12386	F	EUR
NA12399	NA12399	M	EUR
NA12400	NA12400	F	EUR
NA12413	NA12413	M	EUR
NA12414	NA12414	F	EUR
NA12485	NA12485	M	EUR
NA12489	NA12489	F	EUR
NA12546	NA12546	M	EUR
NA12707	NA12707	M	EUR
NA12708	NA12708	F	EUR
NA12716	NA12716	M	EUR
NA12717	NA12717	F	EUR
NA12718	NA12718	F	EUR
NA12739	NA12739	M	EUR
NA12740	NA12740	F	EUR
NA12748	NA12748	M	EUR
NA12749	NA12749	F	EUR
NA12750	NA12750	M	EUR
NA12751	NA12751	F	EUR
NA12752	NA12752	M	EUR
NA12753	NA12753	F	EUR
NA12760	NA12760	M	EUR
NA12761	NA12761	F	EUR
NA12762	NA12762	M	EUR
NA12763	NA12763	F	EUR
NA12766	NA12766	M	EUR
NA12767	NA12767	F	EUR
NA12775	NA12775	M	EUR
NA12776	NA12776	F	EUR
NA12777	NA12777	M	EUR
NA12778	NA12778	F	EUR
NA12801	NA12801	M	EUR
NA12802	NA12802	F	EUR
NA12812	NA12812	M	EUR
NA12813	NA12813	F	EUR
NA12814	NA12814	M	EUR
NA12815	NA12815	F	EUR
NA12817	NA12817	M	EUR
NA12818	NA12818	F	EUR
NA12827	NA12827	M	EUR
NA12828	NA12828	F	EUR
NA12829	NA12829	M	EUR
NA12830	NA12830	F	EUR
NA12832	NA12832	F	EUR
NA12842	NA12842	M	EUR
NA12843	NA12843	F	EUR
NA12864	NA12864	M	EUR
NA12865	NA12865	F	EUR
NA12872	NA12872	M	EUR
NA12873	NA12873	F	EUR
NA12874	NA12874	M	EUR
NA12875	NA12875	F	EUR
NA12877	NA12877	M	EUR
NA12878	NA12878	F	EUR
NA12889	NA12889	M	EUR
NA12890	NA12890	F	EUR
NA12891	NA12891	M	EUR
NA12892	NA12892	F	EUR
NA18484	NA18484	F	AFR
NA18485	NA18485	M	AFR
NA18486	NA18486	M	AFR
NA18487	NA18487	M	AFR
NA18488	NA18488	F	AFR
NA18489	NA18489	F	AFR
NA18497	NA18497	M	AFR
NA18498	NA18498	M	AFR
NA18499	NA18499	F	AFR
NA18500	NA18500	M	AFR
NA18501	NA18501	M	AFR
NA18502	NA18502	F	AFR
NA18503	NA18503	M	AFR
NA18504	NA18504	M	AFR
NA18505	NA18505	F	AFR
NA18506	NA18506	M	AFR
NA18507	NA18507	M	AFR
NA18508	NA18508	F	AFR
NA18509	NA18509	M	AFR
NA18510	NA18510	M	AFR
NA18511	NA18511	F	AFR
NA18515	NA18515	M	AFR
NA18516	NA18516	M	AFR
NA18517	NA18517	F	AFR
NA18518	NA18518	F	AFR
NA18519	NA18519	M	AFR
NA18520	NA18520	F	AFR
NA18521	NA18521	M	AFR
NA18522	NA18522	M	AFR
NA18523	NA18523	F	AFR
NA18525	NA18525	F	EAS
NA18526	NA18526	F	EAS
NA18527	NA18527	F	EAS
NA18528	NA18528	F	EAS
NA18530	NA18530	M	EAS
NA18531	NA18531	F	EAS
NA18532	NA18532	F	EAS
NA18533	NA18533	F	EAS
NA18534	NA18534	M	EAS
NA18535	NA18535	F	EAS
NA18536	NA18536	M	EAS
NA18537	NA18537	F	EAS
NA18538	NA18538	F	EAS
NA18539	NA18539	F	EAS
NA18541	NA18541	F	EAS
NA18542	NA18542	F	EAS
NA18543	NA18543	M	EAS
NA18544	NA18544	M	EAS
NA18545	NA18545	F	EAS
NA18546	NA18546	M	EAS
NA18547	NA18547	F	EAS
NA18548	NA18548	M	EAS
NA18549	NA18549	M	EAS
NA18550	NA18550	F	EAS
NA18552	NA18552	F	EAS
NA18553	NA18553	F	EAS
NA18555	NA18555	F	EAS
NA18557	NA18557	M	EAS
NA18558	NA18558	M	EAS
NA18559	NA18559	M	EAS
NA18560	NA18560	F	EAS
NA18561	NA18561	M	EAS
NA18562	NA18562	M	EAS
NA18563	NA18563	M	EAS
NA18564	NA18564	F	EAS
NA18565	NA18565	F	EAS
NA18566	NA18566	F	EAS
NA18567	NA18567	F	EAS
NA18570	NA18570	F	EAS
NA18571	NA18571	F	EAS
NA18572	NA18572	M	EAS
NA18573	NA18573	F	EAS
NA18574	NA18574	F	EAS
NA18576	NA18576	F	EAS
NA18577	NA18577	F	EAS
NA18579	NA18579	F	EAS
NA18582	NA18582	F	EAS
NA18591	NA18591	F	EAS
NA18592	NA18592	F	EAS
NA18593	NA18593	F	EAS
